Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
R,18.0435,5.42719,3.41937,2.41866,0.280063,0.272691,0.180226,0.725923,0.86931,17.8297,5.82221,3.19151,3.77458
L,18.0435,5.42719,3.41937,2.41866, ,0.270945,0.191361,0.721983,0.87896,17.9872,6.01269,3.10453,3.84027
R,18.3151,5.9602,3.3239,2.9109,0.299094,0.269903,0.192184,0.718089,0.880567,18.1402,6.20641,3.01542,3.90462
L,18.3151,5.9602,3.3239,2.9109, ,0.268161,0.197497,0.714864,0.883079,18.2888,6.40332,2.92421,3.96753
R,18.5781,6.43996,3.09512,3.17699,0.323461,0.266945,0.197097,0.710896,0.882686,18.4328,6.60333,2.83093,4.0289
L,18.5781,6.43996,3.09512,3.17699, ,0.265251,0.200137,0.70754,0.883059,18.572,6.80638,2.7356,4.08867
R,18.8623,6.88472,3.09506,3.40108,0.343591,0.264163,0.199394,0.704956,0.881473,18.7064,7.01237,2.63825,4.14672
L,18.8623,6.88472,3.09506,3.40108, ,0.262544,0.201656,0.703311,0.880535,18.8359,7.22122,2.53893,4.20299
R,19.0704,7.26335,2.6852,3.35993,0.360389,0.261221,0.201294,0.699544,0.880743,18.9604,7.43283,2.43767,4.25737
L,19.0704,7.26335,2.6852,3.35993, ,0.259645,0.204464,0.696381,0.881608,19.0798,7.64712,2.3345,4.3098
R,19.3346,7.62079,2.70382,3.40584,0.374419,0.25855,0.204968,0.694156,0.882509,19.1939,7.86397,2.22949,4.36017
L,19.3346,7.62079,2.70382,3.40584, ,0.257048,0.209843,0.692934,0.884017,19.3028,8.08329,2.12266,4.40842
R,19.5293,8.03728,2.60393,3.54019,0.385746,0.255894,0.210607,0.691823,0.884374,19.4062,8.30497,2.01409,4.45445
L,19.5293,8.03728,2.60393,3.54019, ,0.254433,0.215925,0.691919,0.885255,19.5042,8.5289,1.90381,4.49819
R,19.7621,8.3703,2.38314,3.42202,0.401043,0.253597,0.218575,0.690857,0.888236,19.5966,8.75494,1.7919,4.53956
L,19.7621,8.3703,2.38314,3.42202, ,0.252306,0.22684,0.691015,0.891698,19.6835,8.983,1.67841,4.57848
R,19.898,8.89493,2.05502,3.62343,0.410829,0.251295,0.228053,0.689116,0.892868,19.7645,9.21294,1.56341,4.61488
L,19.898,8.89493,2.05502,3.62343, ,0.249985,0.234003,0.688277,0.894429,19.8398,9.44463,1.44697,4.64869
R,20.0021,9.37486,1.70857,3.70562,0.431535,0.248811,0.234863,0.685668,0.895335,19.9093,9.67795,1.32916,4.67984
L,20.0021,9.37486,1.70857,3.70562, ,0.247488,0.240163,0.683928,0.896557,19.9728,9.91275,1.21005,4.70826
R,19.9681,10.2148,1.4473,4.4553,0.450031,0.246252,0.238979,0.68128,0.892238,20.0303,10.1489,1.08972,4.73389
L,19.9681,10.2148,1.4473,4.4553, ,0.245229,0.238368,0.679464,0.888068,20.0818,10.3863,0.968259,4.75666
R,20.0401,10.6634,1.09268,4.30497,0.487377,0.24411,0.237156,0.676386,0.88474,20.1271,10.6247,0.845742,4.77652
L,20.0401,10.6634,1.09268,4.30497, ,0.243186,0.236809,0.673941,0.881564,20.1663,10.864,0.722256,4.7934
R,19.9895,11.4017,0.800482,4.7385,0.503289,0.242869,0.237507,0.670806,0.877082,20.1993,11.1041,0.597892,4.80727
L,19.9895,11.4017,0.800482,4.7385, ,0.242806,0.236374,0.668222,0.872678,20.2261,11.3449,0.472738,4.81807
R,19.92,11.9185,0.157961,4.51232,0.534309,0.243786,0.237527,0.66514,0.868869,20.2466,11.5861,0.346889,4.82575
