Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,-26.6525,-1.87762,-0.328003,4.0556, ,0.243241,0.318979,0.574001,0.743551,-26.6451,-1.04586,-0.161616,4.8271
R,-26.7155,-1.51709,-0.197535,3.98554,-3.086485,0.242958,0.320575,0.573338,0.743829,-26.65,-0.804425,-0.0338883,4.83238
L,-26.7155,-1.51709,-0.197535,3.98554, ,0.242676,0.323717,0.572804,0.744111,-26.6485,-0.562811,0.0935412,4.83439
R,-26.73,-0.868045,0.20213,4.31422,-3.099780,0.242414,0.324467,0.572089,0.743633,-26.6406,-0.321181,0.220572,4.83317
L,-26.73,-0.868045,0.20213,4.31422, ,0.242167,0.326444,0.571421,0.743149,-26.6264,-0.0796947,0.347104,4.82874
R,-26.708,-0.322634,0.481828,4.44771,-3.125247,0.241919,0.326931,0.57071,0.742458,-26.6059,0.161489,0.473041,4.82116
L,-26.708,-0.322634,0.481828,4.44771, ,0.241704,0.328515,0.570031,0.741756,-26.5792,0.402213,0.598287,4.81045
R,-26.6718,0.182154,0.519709,4.52389,3.137011,0.241485,0.328906,0.569414,0.740962,-26.5462,0.642323,0.722748,4.79667
L,-26.6718,0.182154,0.519709,4.52389, ,0.241326,0.330334,0.568943,0.740156,-26.5069,0.881666,0.846334,4.77986
R,-26.5645,1.10558,0.613629,5.1734,3.117760,0.241083,0.329928,0.568515,0.739528,-26.4616,1.12009,0.968955,4.76007
L,-26.5645,1.10558,0.613629,5.1734, ,0.240908,0.329758,0.568308,0.738936,-26.4101,1.35745,1.09053,4.73737
R,-26.4996,1.07708,0.720226,4.40007,3.080434,0.240722,0.330345,0.568131,0.738191,-26.3526,1.59361,1.21096,4.71181
L,-26.4996,1.07708,0.720226,4.40007, ,0.240653,0.332026,0.568237,0.737421,-26.2891,1.82841,1.33018,4.68345
R,-26.3834,1.57583,1.10161,4.44026,3.084250,0.240496,0.332488,0.567801,0.736596,-26.2197,2.06173,1.44811,4.65235
L,-26.3834,1.57583,1.10161,4.44026, ,0.240492,0.333964,0.56757,0.735752,-26.1444,2.29342,1.56467,4.61859
R,-26.2458,2.07994,1.18762,4.51574,3.064864,0.240368,0.334274,0.567399,0.734865,-26.0633,2.52336,1.67979,4.58223
L,-26.2458,2.07994,1.18762,4.51574, ,0.240443,0.3355,0.567495,0.733976,-25.9765,2.75141,1.79339,4.54334
R,-26.0925,2.59848,1.71483,4.51487,3.045002,0.240371,0.335611,0.566887,0.73309,-25.8841,2.97746,1.90543,4.502
L,-26.0925,2.59848,1.71483,4.51487, ,0.240552,0.336511,0.566396,0.732211,-25.7861,3.20139,2.01582,4.45828
R,-25.9213,3.19232,1.89504,4.67245,3.024467,0.240547,0.336296,0.565827,0.731442,-25.6826,3.42306,2.12452,4.41227
L,-25.9213,3.19232,1.89504,4.67245, ,0.240861,0.336615,0.565388,0.73072,-25.5737,3.64239,2.23146,4.36404
R,-25.7073,3.50794,2.10598,4.41765,3.000320,0.240877,0.336651,0.564824,0.729864,-25.4596,3.85924,2.3366,4.31367
L,-25.7073,3.50794,2.10598,4.41765, ,0.241257,0.337382,0.564385,0.729032,-25.3402,4.07353,2.43989,4.26125
R,-25.4717,3.89186,2.27711,4.30347,2.987904,0.241294,0.337527,0.56386,0.728179,-25.2157,4.28514,2.54127,4.20686
L,-25.4717,3.89186,2.27711,4.30347, ,0.241738,0.3384,0.563469,0.727352,-25.0863,4.49399,2.64071,4.15058
R,-25.1428,4.34462,2.42241,4.32993,2.972020,0.24163,0.338441,0.563011,0.726581,-24.9518,4.69998,2.73817,4.09251
L,-25.1428,4.34462,2.42241,4.32993, ,0.241878,0.33913,0.5627,0.725866,-24.8126,4.90303,2.83361,4.03273
R,-24.822,4.81573,2.71665,4.32602,2.952028,0.241707,0.339017,0.562129,0.725214,-24.6686,5.10304,2.92701,3.97132
L,-24.822,4.81573,2.71665,4.32602, ,0.241866,0.339431,0.561658,0.724644,-24.5201,5.29995,3.01833,3.90839
R,-24.5045,5.20446,3.14512,4.14726,2.930984,0.241674,0.339322,0.561001,0.723942,-24.367,5.49367,3.10754,3.84401
L,-24.5045,5.20446,3.14512,4.14726, ,0.241813,0.339719,0.560349,0.723314,-24.2095,5.68414,3.19464,3.77827
R,-24.2347,5.36803,3.32422,3.71529,2.913347,0.241699,0.340193,0.559698,0.722468,-24.0477,5.8713,3.27959,3.71127
L,-24.2347,5.36803,3.32422,3.71529, ,0.242017,0.341411,0.559049,0.721634,-23.8818,6.05508,3.36239,3.64309
R,-23.8596,5.94566,3.19339,4.06546,2.905928,0.241841,0.3413,0.558528,0.721185,-23.7117,6.23542,3.44302,3.57383
L,-23.8596,5.94566,3.19339,4.06546, ,0.242057,0.341644,0.558104,0.720856,-23.5377,6.41227,3.52148,3.50357
R,-23.5432,6.36729,3.34929,4.02841,2.878025,0.241938,0.34141,0.557585,0.720592,-23.3598,6.58559,3.59775,3.4324
L,-23.5432,6.36729,3.34929,4.02841, ,0.242295,0.341525,0.557157,0.720475,-23.1781,6.75533,3.67185,3.36041
R,-23.1921,6.50779,3.5138,3.58987,2.857757,0.242204,0.341709,0.556624,0.71979,-22.9928,6.92146,3.74376,3.28768
L,-23.1921,6.50779,3.5138,3.58987, ,0.24264,0.342432,0.55617,0.719188,-22.804,7.08393,3.8135,3.21431
R,-22.769,6.83498,3.89979,3.42812,2.849552,0.242479,0.342596,0.555532,0.718495,-22.6117,7.24273,3.88106,3.14038
L,-22.769,6.83498,3.89979,3.42812, ,0.242789,0.343261,0.554901,0.717881,-22.4161,7.39782,3.94647,3.06598
R,-22.2752,7.31196,4.46058,3.44507,2.831221,0.242528,0.343056,0.554685,0.717389,-22.2173,7.54917,4.00974,2.99118
L,-22.2752,7.31196,4.46058,3.44507, ,0.242568,0.343157,0.554365,0.717016,-22.0154,7.69679,4.07087,2.91607
R,-21.7513,8.02321,4.47502,4.02634,2.804255,0.242309,0.342878,0.553979,0.718428,-21.8105,7.84064,4.12989,2.84074
L,-21.7513,8.02321,4.47502,4.02634, ,0.242138,0.342495,0.553521,0.720121,-21.6026,7.98072,4.18681,2.76526
R,-21.3935,8.22445,4.45358,3.67703,2.764964,0.241864,0.342145,0.552986,0.720838,-21.392,8.11703,4.24166,2.68971
L,-21.3935,8.22445,4.45358,3.67703, ,0.241806,0.341761,0.552414,0.721792,-21.1787,8.24957,4.29447,2.61417
R,-20.8664,8.78812,4.54638,3.97691,2.752356,0.241577,0.341929,0.551874,0.724202,-20.9628,8.37833,4.34526,2.53871
L,-20.8664,8.78812,4.54638
