Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,20.3517,11.3171,0.992013,4.66018, ,0.0893382,0.103657,0.803107,0.62224,20.2261,11.3449,0.472738,4.81807
R,20.3157,11.524,0.482818,4.42145,0.515157,0.0891586,0.103324,0.799197,0.620439,20.2466,11.5861,0.346889,4.82575
L,20.3799,11.784,0.547429,4.50323, ,0.0895041,0.102902,0.795896,0.618217,20.2608,11.8275,0.220439,4.83027
R,20.402,12.0137,0.624311,4.571,0.531903,0.0900378,0.102543,0.793727,0.61572,20.2687,12.0692,0.093487,4.83159
L,20.3823,12.3395,0.478592,4.82405, ,0.090279,0.102084,0.791477,0.612724,20.2701,12.3108,-0.0338694,4.82968
R,20.3498,12.5387,0.0702286,4.54224,0.552473,0.0902255,0.1016,0.78799,0.610399,20.2652,12.5522,-0.161529,4.82451
L,20.3727,12.7924,0.0983808,4.59976, ,0.0905395,0.101116,0.785141,0.607852,20.254,12.7933,-0.28939,4.81605
R,20.3738,12.9917,-0.0236085,4.44145,0.568642,0.091096,0.100721,0.782364,0.606004,20.2363,13.0339,-0.417348,4.80428
L,20.3361,13.2185,-0.101235,4.46544, ,0.0914564,0.100391,0.779882,0.603977,20.2122,13.2738,-0.545298,4.78918
R,20.3049,13.4311,-0.222161,4.40031,0.584172,0.0917999,0.100234,0.777475,0.60223,20.1818,13.5129,-0.673135,4.77072
L,20.2744,13.7255,-0.295944,4.58466, ,0.0922162,0.0998031,0.77541,0.599667,20.1449,13.7509,-0.800753,4.74892
R,20.2336,13.9202,-0.522724,4.37683,0.603168,0.0926538,0.099557,0.772844,0.597851,20.1017,13.9878,-0.928043,4.72374
L,20.1644,14.2126,-0.64647,4.56644, ,0.092849,0.0991127,0.770331,0.595277,20.0521,14.2233,-1.0549,4.69521
R,20.0995,14.4195,-0.825028,4.43828,0.622251,0.0929483,0.0987338,0.767622,0.592995,19.9962,14.4573,-1.18121,4.66331
L,19.9753,14.7151,-1.03407,4.64124, ,0.0926177,0.0983252,0.764649,0.590367,19.934,14.6897,-1.30687,4.62805
R,19.9121,14.9131,-1.11073,4.51119,0.643646,0.0923138,0.0978952,0.761881,0.587817,19.8655,14.9202,-1.43177,4.58944
L,19.8898,15.1404,-1.04088,4.50354, ,0.0923743,0.0974717,0.76008,0.58527,19.7908,15.1486,-1.55581,4.54751
R,19.7869,15.3071,-1.56158,4.03273,0.659037,0.0922528,0.0972549,0.756875,0.584371,19.7099,15.3749,-1.67887,4.50226
L,19.7554,15.4988,-1.45735,3.99284, ,0.0926711,0.0972796,0.754302,0.583426,19.6229,15.5989,-1.80085,4.45372
R,19.6769,15.6753,-1.51809,3.89139,0.673264,0.0932661,0.0977818,0.752017,0.582847,19.5298,15.8203,-1.92164,4.40193
L,19.5519,15.9276,-1.6509,4.04278, ,0.0935357,0.0979049,0.749705,0.581062,19.4307,16.039,-2.04114,4.3469
R,19.4541,16.1189,-1.70255,4.0032,0.691859,0.0938799,0.0982835,0.747738,0.579222,19.3257,16.2549,-2.15925,4.28868
L,19.3403,16.3204,-1.76513,4.0167, ,0.0941847,0.0987901,0.746088,0.577141,19.2148,16.4679,-2.27586,4.22731
R,19.2342,16.4925,-1.94929,3.81589,0.709211,0.0946037,0.0998018,0.744098,0.575629,19.0981,16.6777,-2.39087,4.16284
L,19.0825,16.7456,-2.0972,3.97799, ,0.0947092,0.100177,0.741975,0.573382,18.9757,16.8841,-2.50418,4.0953
R,18.9411,16.9146,-2.49392,3.61829,0.728859,0.0946989,0.100968,0.739059,0.57223,18.8477,17.0872,-2.61571,4.02476
L,18.7273,17.2041,-2.742,3.89703, ,0.0943266,0.100834,0.736098,0.569957,18.7142,17.2866,-2.72534,3.95127
R,18.607,17.4091,-2.5967,4.02298,0.752310,0.0939943,0.100644,0.733473,0.567844,18.5752,17.4822,-2.83299,3.87489
L,18.3807,17.6389,-2.82449,4.12262, ,0.0937295,0.100295,0.73065,0.566348,18.4309,17.674,-2.93858,3.79568
R,18.2306,17.8257,-2.88367,4.03279,0.774468,0.0934706,0.0999534,0.727925,0.564836,18.2814,17.8617,-3.042,3.71372
L,18.1187,18.0178,-2.80667,3.99981, ,0.0931103,0.0995946,0.725703,0.563588,18.1268,18.0453,-3.14318,3.62906
R,17.9495,18.1546,-3.09414,3.60283,0.792012,0.0927644,0.0994007,0.723023,0.561442,17.9671,18.2246,-3.24204,3.5418
L,17.8395,18.2895,-2.9714,3.48679, ,0.0924656,0.0994852,0.720972,0.559303,17.8026,18.3994,-3.3385,3.45199
R,17.713,18.4525,-3.0034,3.35798,0.806774,0.092375,0.0996311,0.719206,0.557181,17.6334,18.5697,-3.43247,3.35973
L,17.5009,18.6647,-3.16491,3.47785, ,0.0920974,0.0994445,0.717173,0.555389,17.4595,18.7353,-3.5239,3.26509
R,17.3278,18.7884,-3.34199,3.18342,0.826720,0.0918418,0.0995089,0.714874,0.553314,17.281,18.8962,-3.61271,3.16817
L,17.1726,18.9293,-3.30586,3.13907, ,0.0917244,0.0997014,0.713024,0.551294,17.0983,19.0521,-3.69883,3.06904
R,17.0033,19.0909,-3.40074,3.05453,0.842932,0.0917266,0.0997981,0.711151,0.549314,16.9113,19.203,-3.78221,2.9678
L,16.7784,19.224,-3.51651,3.03143, ,0.0915267,0.100003,0.709168,0.547491,16.7201,19.3488,-3.86278,2.86455
R,16.5839,19.3716,-3.69683,2.86265,0.862319,0.0913316,0.100143,0.706898,0.545574,16.5251,19.4894,-3.9405,2.75938
L,16.3367,19.561,-3.86279,2.98451, ,0.0910068,0.0999284,0.70447,0.544338,16.3262,19.6246,-4.01531,2.65237
R,16.1181,19.6309,-4.04662,2.61524,0.884549,0.0906825,0.100118,0.701957,0.542424,16.1237,19.7545,-4.08716,2.54364
L,15.9056,19.7884,-4.08321,2.67592, ,0.090366,0.100053,0.699491,0.540883,15.9176,19.8789,-4.15602,2.43329
R,15.7096,19.9051,-4.05179,2.64074,0.903330,0.0900473,0.100003,0.697169,0.539641,15.7082,19.9978,-4.22185,2.32141
L,15.4669,20.0824,-4.16766,2.75065, ,0.0897641,0.0996819,0.694796,0.539661,15.4956,20.111,-4.28461,2.2081
R,15.2356,20.2271,-4.32841,2.63299,0.924342,0.0895281,0.0993377,0.692381,0.53966,15.2799,20.2185,-4.34427,2.09347
L,15.068,20.3574,-4.21264,2.61351, ,0.0892205,0.0990425,0.690166,0.540383,15.0613,20.3203,-4.4008,1.97763
R,14.8319,20.434,-4.39411,2.29849,0.943376,0.088917,0.0987137,0.687816,0.539746,14.84,20.4162,-4.4542,1.86068
L,14.6229,20.5572,-4.37261,2.31217, ,0.0886158,0.0984669,0.685559,0.539954,14.6161,20.5063,-4.50443,1.74272
R,14.3759,20.6431,-4.57577,2.03817,0.962240,0.0883233,0.0982293,0.683242,0.539203,14.3897,20.5904,-4.55149,1.62386
L,14.1331,20.7195,-4.59716,1.98985, ,0.0880562,0.0979879,0.680945,0.538862,14.1611,20.6686,-4.59537,1.50421
R,13.8879,20.7883,-4.74527,1.73603,0.981999,0.0878307,0.0977377,0.67873,0.537832,13.9304,20.7408,-4.63606,1.38386
L,13.6069,20.8603,-4.84366,1.71965, ,0.0878507,0.0975103,0.676621,0.537335,13.6977,20.807,-4.67357,1.26294
R,13.3544,20.8876,-5.01125,1.32447,1.002871,0.0880047,0.0972032,0.67484,0.53577,13.4632,20.8671,-4.70789,1.14153
L,13.1184,20.9251,-4.96301,1.26137, ,0.0881556,0.0968856,0.672875,0.534373,13.2271,20.9211,-4.73904,1.01975
R,12.8761,20.981,-5.01031,1.13469,1.020716,0.0883431,0.0965753,0.670973,0.532978,12.9895,20.969,-4.76702,0.897694
L,12.7073,21.0164,-4.80194,1.06655, ,0.0881265,0.0962643,0.668806,0.53177,12.7506,21.0108,-4.79186,0.775469
R,12.4374,21.0573,-4.96717,0.880675,1.036494,0.0880389,0.0959592,0.666772,0.530375,12.5106,21.0465,-4.81358,0.653175
L,12.194,21.1015,-4.95498,0.87941, ,0.0879646,0.0956745,0.664717,0.529415,12.2695,21.0761,-4.83219,0.530912
R,11.9471,21.1172,-5.04676,0.625967,1.056543,0.0879194,0.0953816,0.6628,0.528019,12.0276,21.0996,-4.84773,0.408778
L,11.7188,21.0886,-4.96158,0.498837, ,0.0877994,0.0951078,0.660761,0.526625,11.785,21.117,-4.86022,0.286869
R,11.4596,21.0721,-5.05457,0.259209,1.073122,0.0877654,0.0949141,0.658855,0.525029,11.5418,21.1283,-4.86971,0.165281
L,11.2631,21.0662,-4.90757,0.205639, ,0.0875361,0.0947675,0.65681,0.523551,11.2982,21.1335,-4.87623,0.0441057
R,10.9915,21.0264,-5.03598,-0.0541048,1.089114,0.0874053,0.0948434,0.654895,0.521935,11.0544,21.1327,-4.87982,-0.076565
L,10.8022,20.9889,-4.86637,-0.140381, ,0.0871392,0.095159,0.652884,0.520351,10.8105,21.1259,-4.88053,-0.196643
R,10.5283,20.9891,-4.94686,-0.117187,1.104561,0.0869247,0.0953609,0.650912,0.518994,10.5666,21.1131,-4.8784,-0.31604
L,10.227,21.0385,-5.10401,0.00646888, ,0.0869822,0.0951708,0.649185,0.518557,10.3229,21.0943,-4.87349,-0.434674
R,9.96656,21.0198,-5.19367,-0.21526,1.128189,0.0871619,0.0949624,0.647727,0.517655,10.0795,21.0697,-4.86585,-0.552463
L,9.81359,20.9768,-4.91308,-0.30563, ,0.0869188,0.0948004,0.6458,0.51687,9.83658,21.0391,-4.85554,-0.669327
R,9.56348,20.9643,-4.93094,-0.311255,1.142590,0.0866921,0.0945644,0.643911,0.516625,9.59422,21.0028,-4.84262,-0.785189
L,9.40387,20.9147,-4.69864,-0.399116, ,0.0865253,0.0943505,0.642079,0.516533,9.35258,20.9607,-4.82714,-0.899977
R,9.17363,20.8682,-4.76717,-0.668049,1.157282,0.0864008,0.094135,0.640196,0.515693,9.11177,20.9128,-4.80919,-1.01362
L,8.85169,20.8521,-4.98505,-0.614188, ,0.0861617,0.093861,0.638498,0.515671,8.87192,20.8594,-4.78881,-1.12605
R,8.62684,20.7696,-4.97491,-0.904722,1.179002,0.0859122,0.0936171,0.636838,0.514794,8.63315,20.8003,-4.76608,-1.2372
L,8.34068,20.6905,-5.05749,-0.961292, ,0.0857651,0.0934095,0.63545,0.514141,8.39557,20.7358,-4.74108,-1.34701
R,8.0878,20.6121,-5.10848,-1.18624,1.197375,0.0856899,0.0932292,0.634327,0.513067,8.1593,20.6657,-4.71387,-1.45542
L,7.86032,20.529,-5.02855,-1.23777, ,0.0855821,0.0930778,0.633047,0.512187,7.92445,20.5903,-4.68453,-1.56237
R,7.62327,20.4447,-5.06275,-1.509,1.214868,0.0854917,0.092942,0.632,0.510871,7.69111,20.5096,-4.65313,-1.66781
L,7.29758,20.3877,-5.25533,-1.45902, ,0.086113,0.0927184,0.632021,0.509967,7.45939,20.4237,-4.61975,-1.7717
R,7.03378,20.2945,-5.27732,-1.57774,1.237430,0.0871135,0.0925015,0.632379,0.509017,7.22939,20.3326,-4.58448,-1.87399
L,6.78913,20.2069,-5.22485,-1.59776, ,0.088304,0.092269,0.63264,0.508374,7.00119,20.2364,-4.54738,-1.97462
R,6.53733,20.1168,-5.22287,-1.70483,1.257167,0.0898211,0.0920226,0.633123,0.507705,6.7749,20.1352,-4.50854,-2.07357
L,6.32012,20.0208,-5.10558,-1.73254, ,0.091196,0.0917702,0.633147,0.507347,6.55059,20.0292,-4.46805,-2.17079
R,6.08224,19.9275,-5.09767,-1.88837,1.275450,0.0927566,0.0915202,0.633365,0.506726,6.32834,19.9183,-4.42598,-2.26625
L,5.84039,19.8305,-5.06298,-1.89519, ,0.0945981,0.0912929,0.633633,0.506506,6.10823,19.8027,-4.38241,-2.35993
R,5.57331,19.6879,-5.14956,-2.22596,1.294913,0.0971925,0.0910454,0.634738,0.505402,5.89034,19.6824,-4.33744,-2.45178
L,5.45943,19.5545,-4.76822,-2.28764, ,0.0982133,0.0907993,0.633992,0.504381,5.67472,19.5577,-4.29114,-2.5418
R,5.24124,19.4044,-4.73643,-2.48589,1.308418,0.0992709,0.090572,0.633317,0.503134,5.46145,19.4284,-4.24359,-2.62995
L,5.05935,19.2989,-4.5982,-2.45852, ,0.0999879,0.09033,0.632309,0.50214,5.25059,19.2948,-4.19488,-2.71622
R,4.86416,19.1842,-4.51019,-2.4563,1.324078,0.100563,0.0901113,0.631187,0.501432,5.04219,19.157,-4.1451,-2.80059
L,4.74023,19.0346,-4.23638,-2.51897, ,0.10054,0.0898839,0.6296,0.500805,4.8363,19.015,-4.09432,-2.88305
R,4.5075,18.8822,-4.33213,-2.77465,1.335735,0.100687,0.0896523,0.628292,0.499673,4.63297,18.8689,-4.04263,-2.96359
L,4.35511,18.7503,-4.16537,-2.7699, ,0.100579,0.0894463,0.626774,0.498753,4.43224,18.7188,-3.99012,-3.0422
R,4.16562,18.6054,-4.11563,-2.79455,1.351570,0.100438,0.0892611,0.625272,0.498003,4.23416,18.5648,-3.93685,-3.11888
L,4.07642,18.4544,-3.80575,-2.82858, ,0.100214,0.0890945,0.623675,0.497405,4.03876,18.4071,-3.88293,-3.19362
R,3.86669,18.2787,-3.92515,-3.26774,1.361692,0.0999666,0.0888962,0.622104,0.496122,3.84606,18.2457,-3.82841,-3.26644
L,3.58627,18.1332,-4.15164,-3.22552, ,0.0998353,0.0887479,0.621098,0.494913,3.65611,18.0807,-3.77339,-3.33732
R,3.41332,17.9828,-4.04884,-3.13761,1.384967,0.0996594,0.088665,0.619962,0.494021,3.46891,17.9122,-3.71795,-3.40627
L,3.18064,17.8165,-4.12673,-3.15242, ,0.0996811,0.0886062,0.619272,0.493296,3.28449,17.7402,-3.66215,-3.47331
R,2.96287,17.6325,-4.18913,-3.44223,1.403931,0.0999257,0.0885121,0.619095,0.492096,3.10287,17.565,-3.60609,-3.53844
L,2.81549,17.5128,-4.03525,-3.35059, ,0.0999709,0.0887412,0.618495,0.491181,2.92405,17.3866,-3.54982,-3.60167
R,2.64111,17.2966,-3.98661,-3.70031,1.421233,0.100007,0.0887554,0.617932,0.489958,2.74805,17.2051,-3.49344,-3.66302
L,2.48634,17.1038,-3.86633,-3.71667, ,0.0999531,0.0887291,0.617136,0.488738,2.57486,17.0205,-3.437,-3.72251
