Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot,gt x,gt y,gt x dot,gt y dot
L,-26.4939,-2.57583,-1.13611,4.30161, ,0.0986036,0.0876017,0.491188,0.465625,-26.4815,-2.48143,-0.928411,4.72562
R,-26.5397,-2.35008,-1.01721,4.33625,-3.052911,0.0984807,0.0876521,0.490682,0.465502,-26.5247,-2.24456,-0.80109,4.75091
L,-26.6026,-2.14795,-1.0389,4.29882, ,0.0983771,0.0878308,0.490404,0.465524,-26.5616,-2.0065,-0.673434,4.77284
R,-26.6232,-1.92214,-0.872336,4.33077,-3.069198,0.0982647,0.0880648,0.490058,0.465512,-26.5921,-1.76744,-0.545553,4.79141
L,-26.637,-1.63858,-0.818013,4.50506, ,0.0981459,0.0881306,0.489852,0.46517,-26.6161,-1.52753,-0.417552,4.80664
R,-26.6255,-1.43253,-0.406634,4.45973,-3.088665,0.0980227,0.0883227,0.489268,0.464932,-26.6338,-1.28695,-0.289538,4.81852
L,-26.639,-1.1831,-0.393806,4.52925, ,0.0978997,0.0884799,0.488791,0.464587,-26.6451,-1.04586,-0.161616,4.8271
R,-26.6599,-0.973074,-0.234847,4.48836,-3.105724,0.0977779,0.0887721,0.48828,0.464323,-26.65,-0.804425,-0.0338883,4.83238
L,-26.6828,-0.686464,-0.252584,4.65434, ,0.0976704,0.0888767,0.487976,0.463828,-26.6485,-0.562811,0.0935412,4.83439
R,-26.6635,-0.451887,0.113835,4.65753,-3.124597,0.0975549,0.0890058,0.487395,0.463331,-26.6406,-0.321181,0.220572,4.83317
L,-26.6256,-0.106636,0.178329,4.95367, ,0.0974332,0.0889049,0.486859,0.462795,-26.6264,-0.0796947,0.347104,4.82874
R,-26.5982,0.134621,0.440428,4.93025,3.136293,0.0973128,0.0888044,0.486256,0.462251,-26.6059,0.161489,0.473041,4.82116
L,-26.5825,0.459503,0.435209,5.13856, ,0.0971921,0.08874,0.485721,0.461967,-26.5792,0.402213,0.598287,4.81045
R,-26.5588,0.707593,0.530652,5.11049,3.114626,0.0970738,0.0886896,0.485213,0.461659,-26.5462,0.642323,0.722748,4.79667
L,-26.5632,1.00071,0.478686,5.21111, ,0.0969941,0.0887773,0.484958,0.461586,-26.5069,0.881666,0.846334,4.77986
R,-26.5099,1.28413,0.583948,5.26912,3.094104,0.0969042,0.0890409,0.484737,0.461709,-26.4616,1.12009,0.968955,4.76007
L,-26.4692,1.49828,0.598699,5.13825, ,0.0968293,0.089205,0.484755,0.461569,-26.4101,1.35745,1.09053,4.73737
R,-26.4199,1.7069,0.786742,4.99473,3.075304,0.096768,0.0892719,0.484616,0.461216,-26.3526,1.59361,1.21096,4.71181
L,-26.3803,1.89138,0.778319,4.82184, ,0.0967549,0.0892171,0.484791,0.460703,-26.2891,1.82841,1.33018,4.68345
R,-26.3041,2.11787,1.10288,4.75783,3.060814,0.0967267,0.0891513,0.4845,0.46017,-26.2197,2.06173,1.44811,4.65235
L,-26.2531,2.28718,1.0853,4.57617, ,0.0967577,0.0890434,0.484487,0.459615,-26.1444,2.29342,1.56467,4.61859
R,-26.1814,2.50847,1.19467,4.54758,3.045852,0.0968153,0.0889382,0.484489,0.45906,-26.0633,2.52336,1.67979,4.58223
L,-26.1103,2.76589,1.21989,4.6273, ,0.0969221,0.0888334,0.484724,0.458522,-25.9765,2.75141,1.79339,4.54334
R,-26.0102,2.9837,1.64754,4.54543,3.027036,0.0970034,0.0887265,0.484304,0.457973,-25.8841,2.97746,1.90543,4.502
L,-25.906,3.29733,1.70188,4.77441, ,0.0970651,0.0887446,0.483966,0.457684,-25.7861,3.20139,2.01582,4.45828
R,-25.8147,3.53351,1.87126,4.74357,3.005494,0.0971647,0.0888032,0.483543,0.457422,-25.6826,3.42306,2.12452,4.41227
L,-25.7169,3.71869,1.86915,4.60664, ,0.097301,0.0887753,0.483289,0.457028,-25.5737,3.64239,2.23146,4.36404
R,-25.5934,3.92421,2.10065,4.5115,2.988678,0.0974046,0.088726,0.482848,0.456583,-25.4596,3.85924,2.3366,4.31367
L,-25.538,4.07996,1.99557,4.32428, ,0.0977671,0.0886206,0.48276,0.456049,-25.3402,4.07353,2.43989,4.26125
R,-25.4085,4.27712,2.21644,4.2445,2.974285,0.0981027,0.0885159,0.482446,0.455509,-25.2157,4.28514,2.54127,4.20686
L,-25.2493,4.51658,2.31079,4.31996, ,0.098308,0.0884176,0.48214,0.455043,-25.0863,4.49399,2.64071,4.15058
R,-25.0883,4.71792,2.43885,4.27553,2.955476,0.0984159,0.0883171,0.481789,0.45459,-24.9518,4.69998,2.73817,4.09251
L,-24.9805,4.91003,2.40795,4.21735, ,0.098638,0.0882133,0.481664,0.454142,-24.8126,4.90303,2.83361,4.03273
R,-24.8146,5.10643,2.65469,4.14708,2.938445,0.0987763,0.0881093,0.481278,0.453686,-24.6686,5.10304,2.92701,3.97132
L,-24.6493,5.33816,2.72066,4.21441, ,0.0988589,0.0880251,0.480928,0.453395,-24.5201,5.29995,3.01833,3.90839
R,-24.4687,5.52526,3.083,4.08794,2.918982,0.0988656,0.0879351,0.480365,0.453017,-24.367,5.49367,3.10754,3.84401
L,-24.2864,5.69457,3.12592,3.99973, ,0.0988199,0.0878335,0.479813,0.452613,-24.2095,5.68414,3.19464,3.77827
R,-24.1141,5.85923,3.35946,3.85283,2.902002,0.0987564,0.0877328,0.479268,0.452136,-24.0477,5.8713,3.27959,3.71127
L,-23.947,6.01183,3.34685,3.74838, ,0.0986915,0.0876553,0.47871,0.451637,-23.8818,6.05508,3.36239,3.64309
R,-23.7892,6.21158,3.20411,3.81501,2.886573,0.0986474,0.0875609,0.478291,0.451261,-23.7117,6.23542,3.44302,3.57383
L,-23.6391,6.35836,3.1728,3.69917, ,0.098654,0.0874978,0.478031,0.450836,-23.5377,6.41227,3.52148,3.50357
R,-23.4789,6.53858,3.26847,3.65918,2.869817,0.0987064,0.0874257,0.477741,0.450446,-23.3598,6.58559,3.59775,3.4324
L,-23.2512,6.79523,3.4103,3.86051, ,0.0986549,0.0873458,0.477354,0.450567,-23.1781,6.75533,3.67185,3.36041
R,-23.0436,6.94689,3.60221,3.71526,2.847592,0.0985713,0.0872536,0.476852,0.450515,-22.9928,6.92146,3.74376,3.28768
L,-22.8382,7.1176,3.64498,3.68075, ,0.0984716,0.0871682,0.476372,0.450553,-22.804,7.08393,3.8135,3.21431
R,-22.6124,7.27066,3.94033,3.53254,2.829820,0.0983587,0.0870785,0.475834,0.450427,-22.6117,7.24273,3.88106,3.14038
L,-22.4422,7.39075,3.87096,3.38198, ,0.098254,0.0869794,0.475303,0.450166,-22.4161,7.39782,3.94647,3.06598
R,-22.1977,7.54225,4.28763,3.23047,2.814044,0.0981462,0.0868807,0.474946,0.449797,-22.2173,7.54917,4.00974,2.99118
L,-22.0238
