R,4.62251,0.68873,4.73214,0.393744,0.498711,0.224551,0.0800382,2.16107,0.42939,5.01315,0.679804,5.1727,0.272649
L,5.29446,0.690597,5.34883,0.277359, ,0.218624,0.0779079,2.10384,0.417984,5.27175,0.694234,5.16867,0.304413
R,5.29446,0.690597,5.34883,0.277359,0.728105,0.219508,0.0760629,2.05098,0.407625,5.53013,0.710295,5.16422,0.337868
L,5.9195,0.713787,5.62997,0.263184, ,0.216123,0.0742952,2.00419,0.398522,5.78828,0.728072,5.15932,0.372999
R,5.9195,0.713787,5.62997,0.263184,0.718333,0.212874,0.0729451,1.96073,0.390612,6.04618,0.747647,5.15393,0.409793
L,6.41703,0.837711,5.42538,0.568178, ,0.20953,0.0727619,1.91851,0.382844,6.30379,0.769103,5.14803,0.448233
R,6.41703,0.837711,5.42538,0.568178,0.740106,0.207216,0.0718246,1.87901,0.375138,6.5611,0.792523,5.14157,0.488305
L,6.8766,0.81013,5.16604,0.304345, ,0.203366,0.070391,1.84105,0.370318,6.81808,0.817988,5.13452,0.52999
R,6.8766,0.81013,5.16604,0.304345,0.894529,0.203166,0.0693733,1.80532,0.366937,7.07469,0.845578,5.12685,0.573269
L,7.27357,0.89511,4.79215,0.474814, ,0.199673,0.0681824,1.77268,0.361133,7.3309,0.875373,5.11851,0.618123
R,7.27357,0.89511,4.79215,0.474814,0.840564,0.204809,0.0669944,1.74177,0.356433,7.58668,0.907449,5.10946,0.664531
L,7.77735,0.838114,4.86891,0.148399, ,0.201605,0.0685916,1.71202,0.365561,7.84199,0.941886,5.09966,0.712469
R,7.77735,0.838114,4.86891,0.148399,0.942591,0.206619,0.072162,1.68372,0.376467,8.0968,0.978759,5.08907,0.761915
L,8.25663,0.847049,4.84513,0.129954, ,0.203965,0.0773541,1.65687,0.390127,8.35106,1.01814,5.07766,0.812843
R,8.25663,0.847049,4.84513,0.129954,0.852954,0.209972,0.0849426,1.63124,0.405385,8.60472,1.06011,5.06537,0.865226
L,8.74348,0.948164,4.85243,0.405187, ,0.207721,0.0879741,1.60671,0.409095,8.85775,1.10473,5.05216,0.919037
R,8.74348,0.948164,4.85243,0.405187,0.860044,0.214084,0.0934603,1.58322,0.414681,9.1101,1.15208,5.03798,0.974245
L,9.24137,1.01693,4.89193,0.493422, ,0.211982,0.0972947,1.5606,0.418687,9.36172,1.20223,5.0228,1.03082
