Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
R,19.8212,8.83725,2.5317,3.88209,8.790449,0.172398,0.139698,1.03464,0.426419
L,20.1131,9.33483,2.65292,4.22369, ,0.173826,0.139404,1.03668,0.426403
R,20.1131,9.33483,2.65292,4.22369,9.225462,0.174181,0.143185,1.04023,0.426738
L,20.2751,9.82803,2.33014,4.44493, ,0.176056,0.142684,1.04112,0.425315
R,20.2751,9.82803,2.33014,4.44493,9.757197,0.176928,0.145731,1.04344,0.424095
L,20.3482,10.3642,1.83078,4.73132, ,0.178105,0.14498,1.0417,0.421865
R,20.3482,10.3642,1.83078,4.73132,10.272521,0.178607,0.146652,1.04112,0.419687
L,20.4564,10.9184,1.59684,4.9846, ,0.180109,0.145999,1.03954,0.41797
R,20.4564,10.9184,1.59684,4.9846,10.837342,0.181059,0.146459,1.03914,0.416217
L,20.4761,11.3849,1.1594,4.88454, ,0.181886,0.145772,1.03618,0.414164
R,20.4761,11.3849,1.1594,4.88454,11.416892,0.182422,0.14643,1.03418,0.41213
L,20.6023,11.9055,1.19165,4.98502, ,0.184671,0.14591,1.03357,0.410373
R,20.6023,11.9055,1.19165,4.98502,11.873310,0.18671,0.146095,1.03423,0.408639
L,20.5368,12.4473,0.614777,5.12026, ,0.18765,0.146005,1.03118,0.407657
R,20.5368,12.4473,0.614777,5.12026,12.403983,0.188634,0.145665,1.02903,0.406728
L,20.5514,12.928,0.468454,5.02255, ,0.189964,0.145565,1.02678,0.405288
R,20.5514,12.928,0.468454,5.02255,12.959305,0.191528,0.145241,1.02554,0.403928
L,20.4095,13.3081,-0.121218,4.64086, ,0.191582,0.144598,1.02156,0.402292
R,20.4095,13.3081,-0.121218,4.64086,13.430280,0.191948,0.14527,1.01821,0.40062
L,20.3633,13.8271,-0.227531,4.81232, ,0.192207,0.144786,1.01501,0.398824
R,20.3633,13.8271,-0.227531,4.81232,13.772164,0.192951,0.144939,1.01259,0.397097
