Sensor Type,x,y,x dot,y dot,phi,rmse x,rmse y,rmse x dot,rmse y dot
R,-0.98256,12.1558,-3.01046,-4.62341,1.654011,0.279033,0.336954,0.689415,0.704883
L,-0.98256,12.1558,-3.01046,-4.62341, ,0.278732,0.336609,0.689839,0.703318
R,-1.27199,11.6791,-2.96896,-4.7381,1.680130,0.279255,0.335863,0.690244,0.701772
L,-1.27199,11.6791,-2.96896,-4.7381, ,0.279216,0.335496,0.690833,0.70023
R,-1.33962,11.2212,-2.5395,-4.5302,1.709905,0.279024,0.334761,0.689875,0.698801
L,-1.33962,11.2212,-2.5395,-4.5302, ,0.278538,0.334443,0.68902,0.697403
R,-1.46316,10.7601,-2.20765,-4.84891,1.717719,0.278099,0.33372,0.687596,0.695915
L,-1.46316,10.7601,-2.20765,-4.84891, ,0.277512,0.333455,0.686216,0.694428
R,-1.65483,10.2359,-2.11078,-5.04842,1.733236,0.277056,0.332738,0.684781,0.693151
L,-1.65483,10.2359,-2.11078,-5.04842, ,0.276471,0.332334,0.683379,0.691859
R,-1.76082,9.7845,-1.91994,-4.83768,1.760244,0.275896,0.331624,0.681918,0.690381
L,-1.76082,9.7845,-1.91994,-4.83768, ,0.275328,0.331315,0.680466,0.688912
R,-2.05597,9.27119,-2.09763,-5.08077,1.777754,0.274917,0.330616,0.679164,0.68764
L,-2.05597,9.27119,-2.09763,-5.08077, ,0.27436,0.330224,0.677902,0.68636
R,-2.13758,8.83786,-1.85036,-4.83928,1.823809,0.273799,0.329534,0.676476,0.684917
L,-2.13758,8.83786,-1.85036,-4.83928, ,0.273242,0.32931,0.675062,0.683485
R,-2.45851,8.29839,-2.12622,-5.05395,1.841974,0.27293,0.328627,0.673976,0.682162
L,-2.45851,8.29839,-2.12622,-5.05395, ,0.272431,0.328246,0.672931,0.68084
R,-2.46125,7.9196,-1.631,-4.81959,1.901007,0.271868,0.327611,0.6716,0.679444
L,-2.46125,7.9196,-1.631,-4.81959, ,0.271357,0.327611,0.670268,0.67806
R,-2.8131,7.40067,-2.13157,-4.80853,1.910005,0.271055,0.326957,0.669344,0.676692
L,-2.8131,7.40067,-2.13157,-4.80853, ,0.270572,0.326845,0.66845,0.675334
R,-2.88164,6.97184,-1.67747,-4.86414,1.983066,0.270068,0.326262,0.667098,0.673965
L,-2.88164,6.97184,-1.67747,-4.86414, ,0.269521,0.326404,0.665753,0.672604
R,-2.90435,6.55005,-1.43262,-4.47628,2.010314,0.269015,0.325953,0.664656,0.671806
L,-2.90435,6.55005,-1.43262,-4.47628, ,0.268659,0.326431,0.663561,0.671016
