R, 13.3544, 20.8876, -5.01125, 1.32447, 1.002871, 0.0880047, 0.0972032, 0.67484, 0.53577
L, 13.1184, 20.9251, -4.96301, 1.26137,  , 0.0881556, 0.0968856, 0.672875, 0.534373
R, 12.8761, 20.981, -5.01031, 1.13469, 1.020716, 0.0883431, 0.0965753, 0.670973, 0.532978
L, 12.7073, 21.0164, -4.80194, 1.06655,  , 0.0881265, 0.0962643, 0.668806, 0.53177
R, 12.4374, 21.0573, -4.96717, 0.880675, 1.036494, 0.0880389, 0.0959592, 0.666772, 0.530375
L, 12.194, 21.1015, -4.95498, 0.87941,  , 0.0879646, 0.0956745, 0.664717, 0.529415
R, 11.9471, 21.1172, -5.04676, 0.625967, 1.056543, 0.0879194, 0.0953816, 0.6628, 0.528019
L, 11.7188, 21.0886, -4.96158, 0.498837,  , 0.0877994, 0.0951078, 0.660761, 0.526625
R, 11.4596, 21.0721, -5.05457, 0.259209, 1.073122, 0.0877654, 0.0949141, 0.658855, 0.525029
L, 11.2631, 21.0662, -4.90757, 0.205639,  , 0.0875361, 0.0947675, 0.65681, 0.523551
R, 10.9915, 21.0264, -5.03598, -0.0541048, 1.089114, 0.0874053, 0.0948434, 0.654895, 0.521935
L, 10.8022, 20.9889, -4.86637, -0.140381,  , 0.0871392, 0.095159, 0.652884, 0.520351
R, 10.5283, 20.9891, -4.94686, -0.117187, 1.104561, 0.0869247, 0.0953609, 0.650912, 0.518994
L, 10.227, 21.0385, -5.10401, 0.00646888,  , 0.0869822, 0.0951708, 0.649185, 0.518557
R, 9.96656, 21.0198, -5.19367, -0.21526, 1.128189, 0.0871619, 0.0949624, 0.647727, 0.517655
L, 9.81359, 20.9768, -4.91308, -0.30563,  , 0.0869188, 0.0948004, 0.6458, 0.51687
R, 9.56348, 20.9643, -4.93094, -0.311255, 1.142590, 0.0866921, 0.0945644, 0.643911, 0.516625
L, 9.40387, 20.9147, -4.69864, -0.399116,  , 0.0865253, 0.0943505, 0.642079, 0.516533
R, 9.17363, 20.8682, -4.76717, -0.668049, 1.157282, 0.0864008, 0.094135, 0.640196, 0.515693
L, 8.85169, 20.8521, -4.98505, -0.614188,  , 0.0861617, 0.093861, 0.638498, 0.515671
R, 8.62684, 20.7696, -4.97491, -0.904722, 1.179002, 0.0859122, 0.0936171, 0.636838, 0.514794
L, 8.34068, 20.6905, -5.05749, -0.961292,  , 0.0857651, 0.0934095, 0.63545, 0.514141
R, 8.0878, 20.6121, -5.10848, -1.18624, 1.197375, 0.0856899, 0.0932292, 0.634327, 0.513067
L, 7.86032, 20.529, -5.02855, -1.23777,  , 0.0855821, 0.0930778, 0.633047, 0.512187
R, 7.62327, 20.4447, -5.06275, -1.509, 1.214868, 0.0854917, 0.092942, 0.632, 0.510871
L, 7.29758, 20.3877, -5.25533, -1.45902,  , 0.086113, 0.0927184, 0.632021, 0.509967
R, 7.03378, 20.2945, -5.27732, -1.57774, 1.237430, 0.0871135, 0.0925015, 0.632379, 0.509017
L, 6.78913, 20.2069, -5.22485, -1.59776,  , 0.088304, 0.092269, 0.63264, 0.508374
R, 6.53733, 20.1168, -5.22287, -1.70483, 1.257167, 0.0898211, 0.0920226, 0.633123, 0.507705
L, 6.32012, 20.0208, -5.10558, -1.73254,  , 0.091196, 0.0917702, 0.633147, 0.507347
R, 6.08224, 19.9275, -5.09767, -1.88837, 1.275450, 0.0927566, 0.0915202, 0.633365, 0.506726
L, 5.84039, 19.8305, -5.06298, -1.89519,  , 0.0945981, 0.0912929, 0.633633, 0.506506
R, 5.57331, 19.6879, -5.14956, -2.22596, 1.294913, 0.0971925, 0.0910454, 0.634738, 0.505402
L, 5.45943, 19.5545, -4.76822, -2.28764,  , 0.0982133, 0.0907993, 0.633992, 0.504381
R, 5.24124, 19.4044, -4.73643, -2.48589, 1.308418, 0.0992709, 0.090572, 0.633317, 0.503134
L, 5.05935, 19.2989, -4.5982, -2.45852,  , 0.0999879, 0.09033, 0.632309, 0.50214
R, 4.86416, 19.1842, -4.51019, -2.4563, 1.324078, 0.100563, 0.0901113, 0.631187, 0.501432
L, 4.74023, 19.0346, -4.23638, -2.51897,  , 0.10054, 0.0898839, 0.6296, 0.500805
R, 4.5075, 18.8822, -4.33213, -2.77465, 1.335735, 0.100687, 0.0896523, 0.628292, 0.499673
L, 4.35511, 18.7503, -4.16537, -2.7699,  , 0.100579, 0.0894463, 0.626774, 0.498753
R, 4.16562, 18.6054, -4.11563, -2.79455, 1.351570, 0.100438, 0.0892611, 0.625272, 0.498003
L, 4.07642, 18.4544, -3.80575, -2.82858,  , 0.100214, 0.0890945, 0.623675, 0.497405
R, 3.86669, 18.2787, -3.92515, -3.26774, 1.361692, 0.0999666, 0.0888962, 0.622104, 0.496122
L, 3.58627, 18.1332, -4.15164, -3.22552,  , 0.0998353, 0.0887479, 0.621098, 0.494913
R, 3.41332, 17.9828, -4.04884, -3.13761, 1.384967, 0.0996594, 0.088665, 0.619962, 0.494021
L, 3.18064, 17.8165, -4.12673, -3.15242,  , 0.0996811, 0.0886062, 0.619272, 0.493296
R, 2.96287, 17.6325, -4.18913, -3.44223, 1.403931, 0.0999257, 0.0885121, 0.619095, 0.492096
L, 2.81549, 17.5128, -4.03525, -3.35059,  , 0.0999709, 0.0887412, 0.618495, 0.491181
R, 2.64111, 17.2966, -3.98661, -3.70031, 1.421233, 0.100007, 0.0887554, 0.617932, 0.489958
L, 2.48634, 17.1038, -3.86633, -3.71667,  , 0.0999531, 0.0887291, 0.617136, 0.488738
R, 2.30341, 16.9383, -3.82449, -3.5355, 1.436080, 0.0999588, 0.0888183, 0.616398, 0.487831
L, 2.16543, 16.7695, -3.68375, -3.52292,  , 0.0998386, 0.0890451, 0.615396, 0.487123
R, 1.96243, 16.5702, -3.73044, -3.56204, 1.451959, 0.0998897, 0.0892263, 0.614738, 0.48647
L, 1.82685, 16.3426, -3.5855, -3.65312,  , 0.099816, 0.0892236, 0.613791, 0.485702
R, 1.65212, 16.1641, -3.5742, -3.64979, 1.469193, 0.0998121, 0.0893269, 0.61299, 0.48511
L, 1.46132, 15.999, -3.6094, -3.61819,  , 0.100002, 0.0896718, 0.612527, 0.48483
R, 1.30143, 15.7641, -3.56432, -4.0057, 1.489999, 0.10023, 0.0897943, 0.612107, 0.483697
L, 1.14882, 15.541, -3.49222, -4.04671,  , 0.100467, 0.0898183, 0.61162, 0.482575
R, 0.967038, 15.3457, -3.51318, -4.04296, 1.507368, 0.100952, 0.0899083, 0.611451, 0.481514
L, 0.766079, 15.1222, -3.5786, -4.08207,  , 0.101954, 0.0899256, 0.611866, 0.480465
R, 0.609213, 14.9404, -3.51931, -3.97811, 1.531459, 0.103089, 0.0901134, 0.612241, 0.479721
L, 0.551238, 14.734, -3.20003, -3.98515,  , 0.103445, 0.0903488, 0.611478, 0.479075
R, 0.414873, 14.4879, -3.13356, -4.30526, 1.543886, 0.103786, 0.0903999, 0.610672, 0.477959
L, 0.256425, 14.2614, -3.13724, -4.32564,  , 0.104302, 0.0904065, 0.610051, 0.476856
R, 0.0981451, 14.0033, -3.13535, -4.66413, 1.563708, 0.105034, 0.0902693, 0.609608, 0.476075
L, 0.140408, 13.7582, -2.59525, -4.66967,  , 0.104822, 0.0900826, 0.608203, 0.475235
R, 0.0157517, 13.5115, -2.57885, -4.81817, 1.570009, 0.104606, 0.0898764, 0.606814, 0.474727
L, -0.142673, 13.2726, -2.65903, -4.81693,  , 0.104465, 0.0896733, 0.605538, 0.474124
R, -0.278724, 13.0533, -2.67299, -4.66334, 1.591943, 0.104366, 0.0894696, 0.604361, 0.473131
L, -0.236626, 12.8422, -2.19658, -4.6061,  , 0.10428, 0.089271, 0.603144, 0.472071
R, -0.374087, 12.6129, -2.27611, -4.52003, 1.598260, 0.104135, 0.0890733, 0.601806, 0.471026
L, -0.483844, 12.3832, -2.26487, -4.52627,  , 0.104011, 0.0888769, 0.600464, 0.470001
R, -0.623884, 12.1699, -2.33845, -4.52221, 1.619872, 0.103824, 0.0887002, 0.599139, 0.469008
L, -0.67986, 11.9615, -2.17276, -4.48276,  , 0.103819, 0.0885739, 0.597819, 0.468104
R, -0.826529, 11.7251, -2.27369, -4.56169, 1.637874, 0.103683, 0.0884403, 0.596519, 0.467129
L, -1.02865, 11.4767, -2.51513, -4.61106,  , 0.10347, 0.0882774, 0.595681, 0.466134
R, -1.13691, 11.2481, -2.478, -4.51086, 1.673086, 0.10326, 0.0881284, 0.594845, 0.465308
L, -1.30909, 11.0226, -2.60998, -4.52011,  , 0.103227, 0.0880058, 0.594555, 0.464505
R, -1.41225, 10.7686, -2.49878, -4.80473, 1.703352, 0.103193, 0.0878466, 0.59399, 0.463508
L, -1.52582, 10.5116, -2.46849, -4.8326,  , 0.10321, 0.0876634, 0.593433, 0.462524
R, -1.63769, 10.2399, -2.4134, -5.02303, 1.730026, 0.103281, 0.0874805, 0.592802, 0.461797
L, -1.69915, 10.0356, -2.24831, -4.92104,  , 0.103196, 0.0873016, 0.591825, 0.460878
R, -1.78888, 9.80475, -2.19069, -4.85513, 1.753777, 0.103087, 0.0871346, 0.590796, 0.459901
L, -1.83395, 9.59459, -2.01143, -4.77595,  , 0.102878, 0.087034, 0.589575, 0.458932
R, -1.96315, 9.33192, -2.06074, -4.97145, 1.774696, 0.102726, 0.0868839, 0.588436, 0.458047
L, -2.03596, 9.0353, -1.9823, -5.05079,  , 0.102536, 0.0867076, 0.587245, 0.457277
R, -2.11477, 8.8146, -1.94477, -4.89995, 1.809269, 0.102331, 0.0865257, 0.586049, 0.456325
L, -2.20145, 8.56637, -1.91619, -4.90221,  , 0.102123, 0.0863445, 0.584853, 0.455377
R, -2.34404, 8.30107, -2.037, -4.99643, 1.840158, 0.102008, 0.0861771, 0.583828, 0.4545
L, -2.36493, 8.08168, -1.81073, -4.90707,  , 0.101796, 0.0859981, 0.582617, 0.45356
R, -2.412, 7.87557, -1.67824, -4.83119, 1.874450, 0.10162, 0.0858576, 0.581444, 0.452635
